SOLICITUD;ESTADO_SOLICITUD;F_SOLCIITUD;F_CARGUE_SOLICITUD;Tipo_Op;ORIGEN;DESTINO;OBSERVACIONES;VIAJE;PLACA;FECHA CITA;CLIENTE;CANAL DE DISTRIBUCIÓN;NEGOCIO;CUMPLE;SEGUIMIENTO;CAUSA;ASIGNADA ;ABECEDARIO;CONS;MES;DIA;CITA REPRO.;TIPOLOGIA;PROPIETARIO;ConductorNombre;ConductorCel;
S2-364354;Confirmada;11/04/2019;12/04/2019;URBANO;SABANETA;RIONEGRO;RIONEGRO-GUARNE BAZAR DE LA CONSTRUCCION S.A.S CITA VIERNES 12 ABRIL 11 AM /PARQUE DE RIONEGRO//ALMACEN PIETRASANTA CAMPESTRE//MODAS KAROLAINE SAS 754682 8,7 4;VS-815198;STX824;12/04/2019 11:00;BAZAR DE LA CONSTRUCCION S.A.S;DETALLISTA;SUMICOL;SI;;;;;;;;;;;;;
S2-361725;Confirmada;08/04/2019;10/04/2019;NACIONAL;SOPO;POPAYAN;DISTRIBUIDORA CERAMICAS MODERNA CITA VIERNES 12 DE ABRIL 2 PM MULA CARROZADA;VS-812438;SWO111;12/04/2019 12:00;DISTRIBUIDORA CERAMICAS MODERNA DEL;DETALLISTA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-362714;Confirmada;09/04/2019;10/04/2019;CROSSDOCKING TRAMO 1;GIRARDOTA;MADRID;CITA CRITICA 12 DE ABRIL DE 6 AM A 12 M TRASLADO A SF OJO VA CON CADENA LLEVA VTC;;;12/04/2019 12:00;CEDI;#N/A;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-363978;Confirmada;11/04/2019;11/04/2019;URBANO;SOPO;BOGOTA;LISTODO S.A.-PRODIVERSO SALAMANCA ET 2-12 DE ABRIL CITA DE 6 AM A 12 M;VS-814771;SNA235;12/04/2019 12:00;LISTODO S.A.;DETALLISTA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-363981;;11/04/2019;11/04/2019;URBANO;SOPO;BOGOTA;TECHOS SAS (BOG)-DECORADOS Y ACABADOS CERAMICOS S.A.S-BODEGA MOVILIZAR-12 DE ABRIL CITA DE 6 AM A 12 M-TECHOS ESTIBADO ENTREGA A GRANEL;;;12/04/2019 12:00;TECHOS S.A.S;MAYORISTA ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-363982;;11/04/2019;11/04/2019;URBANO;SOPO;BOGOTA;PRODIVERSO PROMOTORA APOTEMA - AVATAR-12 DE ABRIL CITA DE 6 AM A 12 M;;;12/04/2019 12:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;NO;;INCUMPLE TIEMPO DE CONTRATACIÓN (24 HRS DESPUÉS DE GENERADA LA SOLICITUD);OPERACIONES DE TRANSPORTE;;;;;;;;;;
S2-363983;Confirmada;11/04/2019;11/04/2019;URBANO;SOPO;BOGOTA;AC CD TC KENNEDY-PRODIVERSO PROMOTORA APOTEMA - AVATAR-12 DE ABRIL CITA DE 6 AM A 12 M;VS-814746;TLN286;12/04/2019 12:00;AC CD TC KENNEDY;ALMACENES CORONA;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364005;Confirmada;11/04/2019;11/04/2019;URBANO;SOPO;MADRID;DISTRICERAMICAS BLAPER S.A.S.-COVAL COMERCIAL S.A. (COTA)-PRODIVERSO TARRAGONA CLUB-22 DE ABRIL CITA DE 6 AM A 12 M;VS-814752;SPM166;12/04/2019 12:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364026;;11/04/2019;11/04/2019;URBANO;SOPO;BOGOTA;PRODIVERSOS FRONTIER-CENTRO DE TRATAMIENTO E INVESTIGACION-12 DE ABRIL CITA DE 6 AMA 12 M OJO LLAMAR A LA OBRA ANTES DE IR;;;12/04/2019 12:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364027;Confirmada;11/04/2019;11/04/2019;URBANO;SOPO;BOGOTA;PRODIVERSOS FRONTIER VISSANI/INGEURBE S. A.-12 DE ABRIL CITA DE 6 AMA 12 M OJO LLAMAR A LA OBRA ANTES DE IR;VS-815049;WGQ433;12/04/2019 12:00;PRODIVERSO;CONTRUCTOR ;REVESTIMIENTO;SI;;;;;;;;;;;;;
